country,internetpct,casheco,year
India,22,98,2016
Indonesia,25.4473537,98,2016
Philippines,55.5,98,2016
Morocco,58.27123642,97,2016
Colombia,58.13649357,96,2016
Greece,69.08791547,96,2016
Peru,45.46174069,95,2016
Thailand,47.50496562,95,2016
South Africa,54,91,2016
China,53.2,90,2016
Romania,59.50395129,90,2016
Bulgaria,59.82554766,87,2016
Mexico,59.540446,87,2016
Italy,61.32425277,85,2016
Turkey,58.34773401,85,2016
Malaysia,78.78830993,84,2016
Hungary,79.25941213,82,2016
Russian Federation,73.09143462,81,2016
Saudi Arabia,74.87927469,80,2016
Argentina,70.96898082,78,2016
Lithuania,74.37664556,75,2016
Spain,80.56133294,74,2016
Chile,83.55858602,73,2016
Austria,84.32374257,71,2016
Slovenia,75.49850426,68,2016
Czech Republic,76.4811987,67,2016
Portugal,70.42356709,67,2016
Brazil,60.87254007,65,2016
Japan,93.18272128,64,2016
Latvia,79.84209778,64,2016
Germany,84.16520664,62,2016
Ireland,85.01113212,62,2016
Singapore,84.45226789,56,2016
"Hong Kong SAR, China",87.47941467,52,2016
Belgium,86.51647666,47,2016
"Korea, Rep.",92.84302568,47,2016
Estonia,87.24023275,46,2016
Australia,86.54,43,2016
United States,85.54442129,40,2016
Canada,91.16,39,2016
Netherlands,90.4109589,39,2016
France,79.26981132,38,2016
Luxembourg,98.13669867,31,2016
United Kingdom,94.77580063,30,2016
Sweden,89.65094761,27,2016
Denmark,96.96778525,22,2016
Norway,97.29820367,17,2016
